#SolutionType
OPTIMAL
#Nets
0, MC_S02_AXI_READPORT0, DDRMC_X1Y0, Port0_resp, MC, NOC_NMU128_X1Y10, resp_in, S02_AXI, 6, BE, READ, 38, 100, 2, 2, DDRMC_X1Y0 Port0_resp NOC_NPS5555_X12Y0 port1_in NOC_NPS5555_X12Y0 port0_out NOC_NPS5555_X9Y0 port2_in NOC_NPS5555_X9Y0 port3_out NOC_NPS5555_X9Y1 port1_in NOC_NPS5555_X9Y1 port0_out NOC_NPS_VNOC_X0Y1 port2_in NOC_NPS_VNOC_X0Y1 port0_out NOC_NPS_VNOC_X0Y3 port2_in NOC_NPS_VNOC_X0Y3 port0_out NOC_NPS_VNOC_X0Y5 port2_in NOC_NPS_VNOC_X0Y5 port0_out NOC_NPS_VNOC_X0Y7 port2_in NOC_NPS_VNOC_X0Y7 port0_out NOC_NPS_VNOC_X0Y9 port2_in NOC_NPS_VNOC_X0Y9 port0_out NOC_NPS_VNOC_X0Y11 port2_in NOC_NPS_VNOC_X0Y11 port0_out NOC_NPS_VNOC_X0Y13 port2_in NOC_NPS_VNOC_X0Y13 port0_out NOC_NPS5555_X10Y3 port1_in NOC_NPS5555_X10Y3 port0_out NOC_NPS5555_X7Y3 port2_in NOC_NPS5555_X7Y3 port0_out NOC_NPS5555_X4Y3 port2_in NOC_NPS5555_X4Y3 port0_out NOC_NPS5555_X1Y3 port2_in NOC_NPS5555_X1Y3 port1_out NOC_NMU128_X1Y10 resp_in, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, S02_AXI_MC_READ_REQPORT0, NOC_NMU128_X1Y10, req_out, S02_AXI, DDRMC_X1Y0, Port0_req, MC, 4, BE, READ_REQ, 38, 100, 1, 1, NOC_NMU128_X1Y10 req_out NOC_NPS5555_X1Y3 port1_in NOC_NPS5555_X1Y3 port2_out NOC_NPS5555_X4Y3 port0_in NOC_NPS5555_X4Y3 port2_out NOC_NPS5555_X7Y3 port0_in NOC_NPS5555_X7Y3 port2_out NOC_NPS5555_X10Y3 port0_in NOC_NPS5555_X10Y3 port1_out NOC_NPS_VNOC_X0Y13 port0_in NOC_NPS_VNOC_X0Y13 port2_out NOC_NPS_VNOC_X0Y11 port0_in NOC_NPS_VNOC_X0Y11 port2_out NOC_NPS_VNOC_X0Y9 port0_in NOC_NPS_VNOC_X0Y9 port2_out NOC_NPS_VNOC_X0Y7 port0_in NOC_NPS_VNOC_X0Y7 port2_out NOC_NPS_VNOC_X0Y5 port0_in NOC_NPS_VNOC_X0Y5 port2_out NOC_NPS_VNOC_X0Y3 port0_in NOC_NPS_VNOC_X0Y3 port2_out NOC_NPS_VNOC_X0Y1 port0_in NOC_NPS_VNOC_X0Y1 port2_out NOC_NPS5555_X9Y1 port0_in NOC_NPS5555_X9Y1 port1_out NOC_NPS5555_X9Y0 port3_in NOC_NPS5555_X9Y0 port2_out NOC_NPS5555_X12Y0 port0_in NOC_NPS5555_X12Y0 port1_out DDRMC_X1Y0 Port0_req, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, S02_AXI_MC_WRITEPORT0, NOC_NMU128_X1Y10, req_out, S02_AXI, DDRMC_X1Y0, Port0_req, MC, 5, BE, WRITE, 38, 100, 2, 2, NOC_NMU128_X1Y10 req_out NOC_NPS5555_X1Y3 port1_in NOC_NPS5555_X1Y3 port2_out NOC_NPS5555_X4Y3 port0_in NOC_NPS5555_X4Y3 port2_out NOC_NPS5555_X7Y3 port0_in NOC_NPS5555_X7Y3 port2_out NOC_NPS5555_X10Y3 port0_in NOC_NPS5555_X10Y3 port1_out NOC_NPS_VNOC_X0Y13 port0_in NOC_NPS_VNOC_X0Y13 port2_out NOC_NPS_VNOC_X0Y11 port0_in NOC_NPS_VNOC_X0Y11 port2_out NOC_NPS_VNOC_X0Y9 port0_in NOC_NPS_VNOC_X0Y9 port2_out NOC_NPS_VNOC_X0Y7 port0_in NOC_NPS_VNOC_X0Y7 port2_out NOC_NPS_VNOC_X0Y5 port0_in NOC_NPS_VNOC_X0Y5 port2_out NOC_NPS_VNOC_X0Y3 port0_in NOC_NPS_VNOC_X0Y3 port2_out NOC_NPS_VNOC_X0Y1 port0_in NOC_NPS_VNOC_X0Y1 port2_out NOC_NPS5555_X9Y1 port0_in NOC_NPS5555_X9Y1 port1_out NOC_NPS5555_X9Y0 port3_in NOC_NPS5555_X9Y0 port2_out NOC_NPS5555_X12Y0 port0_in NOC_NPS5555_X12Y0 port1_out DDRMC_X1Y0 Port0_req, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, MC_S02_AXI_WRITE_RESPPORT0, DDRMC_X1Y0, Port0_resp, MC, NOC_NMU128_X1Y10, resp_in, S02_AXI, 7, BE, WRITE_RESP, 38, 100, 1, 1, DDRMC_X1Y0 Port0_resp NOC_NPS5555_X12Y0 port1_in NOC_NPS5555_X12Y0 port0_out NOC_NPS5555_X9Y0 port2_in NOC_NPS5555_X9Y0 port3_out NOC_NPS5555_X9Y1 port1_in NOC_NPS5555_X9Y1 port0_out NOC_NPS_VNOC_X0Y1 port2_in NOC_NPS_VNOC_X0Y1 port0_out NOC_NPS_VNOC_X0Y3 port2_in NOC_NPS_VNOC_X0Y3 port0_out NOC_NPS_VNOC_X0Y5 port2_in NOC_NPS_VNOC_X0Y5 port0_out NOC_NPS_VNOC_X0Y7 port2_in NOC_NPS_VNOC_X0Y7 port0_out NOC_NPS_VNOC_X0Y9 port2_in NOC_NPS_VNOC_X0Y9 port0_out NOC_NPS_VNOC_X0Y11 port2_in NOC_NPS_VNOC_X0Y11 port0_out NOC_NPS_VNOC_X0Y13 port2_in NOC_NPS_VNOC_X0Y13 port0_out NOC_NPS5555_X10Y3 port1_in NOC_NPS5555_X10Y3 port0_out NOC_NPS5555_X7Y3 port2_in NOC_NPS5555_X7Y3 port0_out NOC_NPS5555_X4Y3 port2_in NOC_NPS5555_X4Y3 port0_out NOC_NPS5555_X1Y3 port2_in NOC_NPS5555_X1Y3 port1_out NOC_NMU128_X1Y10 resp_in, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, MC_S04_AXI_READPORT0, DDRMC_X1Y0, Port0_resp, MC, NOC_NMU128_X2Y10, resp_in, S04_AXI, 6, BE, READ, 38, 100, 2, 2, DDRMC_X1Y0 Port0_resp NOC_NPS5555_X12Y0 port1_in NOC_NPS5555_X12Y0 port0_out NOC_NPS5555_X9Y0 port2_in NOC_NPS5555_X9Y0 port3_out NOC_NPS5555_X9Y1 port1_in NOC_NPS5555_X9Y1 port0_out NOC_NPS_VNOC_X0Y1 port2_in NOC_NPS_VNOC_X0Y1 port0_out NOC_NPS_VNOC_X0Y3 port2_in NOC_NPS_VNOC_X0Y3 port0_out NOC_NPS_VNOC_X0Y5 port2_in NOC_NPS_VNOC_X0Y5 port0_out NOC_NPS_VNOC_X0Y7 port2_in NOC_NPS_VNOC_X0Y7 port0_out NOC_NPS_VNOC_X0Y9 port2_in NOC_NPS_VNOC_X0Y9 port0_out NOC_NPS_VNOC_X0Y11 port2_in NOC_NPS_VNOC_X0Y11 port0_out NOC_NPS_VNOC_X0Y13 port2_in NOC_NPS_VNOC_X0Y13 port0_out NOC_NPS5555_X10Y3 port1_in NOC_NPS5555_X10Y3 port0_out NOC_NPS5555_X7Y3 port2_in NOC_NPS5555_X7Y3 port0_out NOC_NPS5555_X4Y3 port2_in NOC_NPS5555_X4Y3 port0_out NOC_NPS5555_X1Y3 port2_in NOC_NPS5555_X1Y3 port3_out NOC_NMU128_X2Y10 resp_in, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, S04_AXI_MC_READ_REQPORT0, NOC_NMU128_X2Y10, req_out, S04_AXI, DDRMC_X1Y0, Port0_req, MC, 4, BE, READ_REQ, 38, 100, 1, 1, NOC_NMU128_X2Y10 req_out NOC_NPS5555_X1Y3 port3_in NOC_NPS5555_X1Y3 port2_out NOC_NPS5555_X4Y3 port0_in NOC_NPS5555_X4Y3 port2_out NOC_NPS5555_X7Y3 port0_in NOC_NPS5555_X7Y3 port2_out NOC_NPS5555_X10Y3 port0_in NOC_NPS5555_X10Y3 port1_out NOC_NPS_VNOC_X0Y13 port0_in NOC_NPS_VNOC_X0Y13 port2_out NOC_NPS_VNOC_X0Y11 port0_in NOC_NPS_VNOC_X0Y11 port2_out NOC_NPS_VNOC_X0Y9 port0_in NOC_NPS_VNOC_X0Y9 port2_out NOC_NPS_VNOC_X0Y7 port0_in NOC_NPS_VNOC_X0Y7 port2_out NOC_NPS_VNOC_X0Y5 port0_in NOC_NPS_VNOC_X0Y5 port2_out NOC_NPS_VNOC_X0Y3 port0_in NOC_NPS_VNOC_X0Y3 port2_out NOC_NPS_VNOC_X0Y1 port0_in NOC_NPS_VNOC_X0Y1 port2_out NOC_NPS5555_X9Y1 port0_in NOC_NPS5555_X9Y1 port1_out NOC_NPS5555_X9Y0 port3_in NOC_NPS5555_X9Y0 port2_out NOC_NPS5555_X12Y0 port0_in NOC_NPS5555_X12Y0 port1_out DDRMC_X1Y0 Port0_req, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, S04_AXI_MC_WRITEPORT0, NOC_NMU128_X2Y10, req_out, S04_AXI, DDRMC_X1Y0, Port0_req, MC, 5, BE, WRITE, 38, 100, 2, 2, NOC_NMU128_X2Y10 req_out NOC_NPS5555_X1Y3 port3_in NOC_NPS5555_X1Y3 port2_out NOC_NPS5555_X4Y3 port0_in NOC_NPS5555_X4Y3 port2_out NOC_NPS5555_X7Y3 port0_in NOC_NPS5555_X7Y3 port2_out NOC_NPS5555_X10Y3 port0_in NOC_NPS5555_X10Y3 port1_out NOC_NPS_VNOC_X0Y13 port0_in NOC_NPS_VNOC_X0Y13 port2_out NOC_NPS_VNOC_X0Y11 port0_in NOC_NPS_VNOC_X0Y11 port2_out NOC_NPS_VNOC_X0Y9 port0_in NOC_NPS_VNOC_X0Y9 port2_out NOC_NPS_VNOC_X0Y7 port0_in NOC_NPS_VNOC_X0Y7 port2_out NOC_NPS_VNOC_X0Y5 port0_in NOC_NPS_VNOC_X0Y5 port2_out NOC_NPS_VNOC_X0Y3 port0_in NOC_NPS_VNOC_X0Y3 port2_out NOC_NPS_VNOC_X0Y1 port0_in NOC_NPS_VNOC_X0Y1 port2_out NOC_NPS5555_X9Y1 port0_in NOC_NPS5555_X9Y1 port1_out NOC_NPS5555_X9Y0 port3_in NOC_NPS5555_X9Y0 port2_out NOC_NPS5555_X12Y0 port0_in NOC_NPS5555_X12Y0 port1_out DDRMC_X1Y0 Port0_req, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, MC_S04_AXI_WRITE_RESPPORT0, DDRMC_X1Y0, Port0_resp, MC, NOC_NMU128_X2Y10, resp_in, S04_AXI, 7, BE, WRITE_RESP, 38, 100, 1, 1, DDRMC_X1Y0 Port0_resp NOC_NPS5555_X12Y0 port1_in NOC_NPS5555_X12Y0 port0_out NOC_NPS5555_X9Y0 port2_in NOC_NPS5555_X9Y0 port3_out NOC_NPS5555_X9Y1 port1_in NOC_NPS5555_X9Y1 port0_out NOC_NPS_VNOC_X0Y1 port2_in NOC_NPS_VNOC_X0Y1 port0_out NOC_NPS_VNOC_X0Y3 port2_in NOC_NPS_VNOC_X0Y3 port0_out NOC_NPS_VNOC_X0Y5 port2_in NOC_NPS_VNOC_X0Y5 port0_out NOC_NPS_VNOC_X0Y7 port2_in NOC_NPS_VNOC_X0Y7 port0_out NOC_NPS_VNOC_X0Y9 port2_in NOC_NPS_VNOC_X0Y9 port0_out NOC_NPS_VNOC_X0Y11 port2_in NOC_NPS_VNOC_X0Y11 port0_out NOC_NPS_VNOC_X0Y13 port2_in NOC_NPS_VNOC_X0Y13 port0_out NOC_NPS5555_X10Y3 port1_in NOC_NPS5555_X10Y3 port0_out NOC_NPS5555_X7Y3 port2_in NOC_NPS5555_X7Y3 port0_out NOC_NPS5555_X4Y3 port2_in NOC_NPS5555_X4Y3 port0_out NOC_NPS5555_X1Y3 port2_in NOC_NPS5555_X1Y3 port3_out NOC_NMU128_X2Y10 resp_in, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, MC_S03_AXI_READPORT0, DDRMC_X1Y0, Port0_resp, MC, NOC_NMU128_X3Y10, resp_in, S03_AXI, 6, BE, READ, 36, 100, 2, 2, DDRMC_X1Y0 Port0_resp NOC_NPS5555_X12Y0 port1_in NOC_NPS5555_X12Y0 port0_out NOC_NPS5555_X9Y0 port2_in NOC_NPS5555_X9Y0 port3_out NOC_NPS5555_X9Y1 port1_in NOC_NPS5555_X9Y1 port0_out NOC_NPS_VNOC_X0Y1 port2_in NOC_NPS_VNOC_X0Y1 port0_out NOC_NPS_VNOC_X0Y3 port2_in NOC_NPS_VNOC_X0Y3 port0_out NOC_NPS_VNOC_X0Y5 port2_in NOC_NPS_VNOC_X0Y5 port0_out NOC_NPS_VNOC_X0Y7 port2_in NOC_NPS_VNOC_X0Y7 port0_out NOC_NPS_VNOC_X0Y9 port2_in NOC_NPS_VNOC_X0Y9 port0_out NOC_NPS_VNOC_X0Y11 port2_in NOC_NPS_VNOC_X0Y11 port0_out NOC_NPS_VNOC_X0Y13 port2_in NOC_NPS_VNOC_X0Y13 port0_out NOC_NPS5555_X10Y3 port1_in NOC_NPS5555_X10Y3 port0_out NOC_NPS5555_X7Y3 port2_in NOC_NPS5555_X7Y3 port0_out NOC_NPS5555_X4Y3 port2_in NOC_NPS5555_X4Y3 port1_out NOC_NMU128_X3Y10 resp_in, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, S03_AXI_MC_READ_REQPORT0, NOC_NMU128_X3Y10, req_out, S03_AXI, DDRMC_X1Y0, Port0_req, MC, 4, BE, READ_REQ, 36, 100, 1, 1, NOC_NMU128_X3Y10 req_out NOC_NPS5555_X4Y3 port1_in NOC_NPS5555_X4Y3 port2_out NOC_NPS5555_X7Y3 port0_in NOC_NPS5555_X7Y3 port2_out NOC_NPS5555_X10Y3 port0_in NOC_NPS5555_X10Y3 port1_out NOC_NPS_VNOC_X0Y13 port0_in NOC_NPS_VNOC_X0Y13 port2_out NOC_NPS_VNOC_X0Y11 port0_in NOC_NPS_VNOC_X0Y11 port2_out NOC_NPS_VNOC_X0Y9 port0_in NOC_NPS_VNOC_X0Y9 port2_out NOC_NPS_VNOC_X0Y7 port0_in NOC_NPS_VNOC_X0Y7 port2_out NOC_NPS_VNOC_X0Y5 port0_in NOC_NPS_VNOC_X0Y5 port2_out NOC_NPS_VNOC_X0Y3 port0_in NOC_NPS_VNOC_X0Y3 port2_out NOC_NPS_VNOC_X0Y1 port0_in NOC_NPS_VNOC_X0Y1 port2_out NOC_NPS5555_X9Y1 port0_in NOC_NPS5555_X9Y1 port1_out NOC_NPS5555_X9Y0 port3_in NOC_NPS5555_X9Y0 port2_out NOC_NPS5555_X12Y0 port0_in NOC_NPS5555_X12Y0 port1_out DDRMC_X1Y0 Port0_req, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
0, S03_AXI_MC_WRITEPORT0, NOC_NMU128_X3Y10, req_out, S03_AXI, DDRMC_X1Y0, Port0_req, MC, 5, BE, WRITE, 36, 100, 2, 2, NOC_NMU128_X3Y10 req_out NOC_NPS5555_X4Y3 port1_in NOC_NPS5555_X4Y3 port2_out NOC_NPS5555_X7Y3 port0_in NOC_NPS5555_X7Y3 port2_out NOC_NPS5555_X10Y3 port0_in NOC_NPS5555_X10Y3 port1_out NOC_NPS_VNOC_X0Y13 port0_in NOC_NPS_VNOC_X0Y13 port2_out NOC_NPS_VNOC_X0Y11 port0_in NOC_NPS_VNOC_X0Y11 port2_out NOC_NPS_VNOC_X0Y9 port0_in NOC_NPS_VNOC_X0Y9 port2_out NOC_NPS_VNOC_X0Y7 port0_in NOC_NPS_VNOC_X0Y7 port2_out NOC_NPS_VNOC_X0Y5 port0_in NOC_NPS_VNOC_X0Y5 port2_out NOC_NPS_VNOC_X0Y3 port0_in NOC_NPS_VNOC_X0Y3 port2_out NOC_NPS_VNOC_X0Y1 port0_in NOC_NPS_VNOC_X0Y1 port2_out NOC_NPS5555_X9Y1 port0_in NOC_NPS5555_X9Y1 port1_out NOC_NPS5555_X9Y0 port3_in NOC_NPS5555_X9Y0 port2_out NOC_NPS5555_X12Y0 port0_in NOC_NPS5555_X12Y0 port1_out DDRMC_X1Y0 Port0_req, IS_NET_LOCKED 0 , IS_SRC_LOCKED 0 , IS_TGT_LOCKED 0
